id,category,name,profile-applicability,description,rationale,impact,audit,remediation,full auto,C,D,R,setting-name,expected-value,operator
2.4,base,"Host image profile acceptance level must be 
PartnerSupported or higher ",Level 1,"The acceptance level on ESXi regulates the type of software that can be installed on the 
system, with four distinct levels: VMwareCertified, VMwareAccepted, PartnerSupported, 
and CommunitySupported. It's advised to set the acceptance level to PartnerSupported 
or higher to ensure that only tested and digitally signed vSphere Installation Bundles 
(VIBs) are allowed for installation. ","The ESXi Image Profile should only allow signed VIBs because an unsigned VIB 
represents untested code installed on an ESXi host. Also, use of unsigned VIBs will 
cause hypervisor Secure Boot to fail to configure. Community Supported VIBs do not 
have digital signatures. To protect the security and integrity of your ESXi hosts, do not 
allow unsigned (CommunitySupported) VIBs to be installed on your hosts. HINT:  ensure it is set to one of the 
following - ""VMware Certified"", ""VMware Accepted"", or ""Partner Supported"".","Restricting the acceptance level to PartnerSupported or higher prevents the installation 
of CommunitySupported packages, which are unsigned and hence, potentially 
unreliable or insecure. This restriction, while enhancing security, might limit the range of 
software that can be installed on the ESXi host. ","# List the Software AcceptanceLevel for each host 
Foreach ($VMHost in Get-VMHost ) { 
$ESXCli = Get-EsxCli -VMHost $VMHost 
$VMHost | Select Name, 
@{N=""AcceptanceLevel"",E={$ESXCli.software.acceptance.get()}} 
} 
# List only the vibs which are not at ""VMwareCertified"" or ""VMwareAccepted"" 
or ""PartnerSupported"" acceptance level  
Foreach ($VMHost in Get-VMHost ) { 
$ESXCli = Get-EsxCli -VMHost $VMHost 
$ESXCli.software.vib.list() | Where { ($_.AcceptanceLevel -ne 
""VMwareCertified"") -and ($_.AcceptanceLevel -ne ""VMwareAccepted"") -and 
($_.AcceptanceLevel -ne ""PartnerSupported"") } 
}","# Set the Software AcceptanceLevel for each host<span> 
Foreach ($VMHost in Get-VMHost ) { 
$ESXCli = Get-EsxCli -VMHost $VMHost 
$ESXCli.software.acceptance.Set(""PartnerSupported"") 
}",,1,0,1,,VMwareCertified | VMwareAccepted | PartnerSupported,custom
2.6,base,Host must have reliable time synchronization sources,Level 1,"Ensuring reliable time synchronization is crucial as various functions like cryptography, 
audit logging, cluster operations, and incident response/forensics are heavily dependent 
on synchronized time. Utilizing at least four NTP sources is recommended for achieving 
reliable time synchronization. Alternatively, PTP can be employed for sub-millisecond 
time accuracy, with NTP configured as a backup to maintain time synchronization 
resilience in case of primary server failure.  ","Reliable time synchronization supports accurate auditing, cryptographic integrity, cluster 
operations, and effective incident response/forensics. Having multiple time sources 
enhances the reliability and accuracy of time synchronization, which is fundamental for 
secure and efficient system operations. HINT: Verify that the NTP Client is set to Enabled 
Verify that the NTP Service Status is Running 
Verify that appropriate NTP servers are set. ","Inadequate time synchronization may lead to erroneous system logs, compromised 
cryptographic operations, inefficient cluster operations, and hindered incident response 
efforts. The resilience and accuracy of time synchronization are vital for maintaining 
operational integrity and security posture. ","# List the NTP Settings for all hosts 
Get-VMHost | Select Name, @{N=""NTPSetting"",E={$_ | Get-VMHostNtpServer}}","# Set the NTP Settings for all hosts 
# If an internal NTP server is used, replace pool.ntp.org with  
# the IP address or the Fully Qualified Domain Name (FQDN) of the internal 
NTP server 
$NTPServers = ""pool.ntp.org"", ""pool2.ntp.org"" 
Get-VMHost | Add-VmHostNtpServer $NTPServers ",,1,1,1,,NTP configurato e ntpd in esecuzione,custom
2.10,base,Host must restrict inter-VM transparent page sharing,Level 1,"Transparent Page Sharing (TPS) aids in optimizing memory usage among virtual 
machines but under certain circumstances can be exploited to access data on adjacent 
virtual machines unauthorizedly. By configuring the Mem.ShareForceSalting parameter, 
inter-VM TPS is restricted, enhancing isolation and security. The parameter governing 
this behavior is Mem.ShareForceSalting with a recommended setting of 2.","Restricting inter-VM TPS is crucial to prevent potential unauthorized access to data, 
ensuring an extra layer of isolation and security between virtual machines which is 
indispensable especially in a multi-tenant environment. HINT: Verify that it is set to 2","There is no noted functional impact, indicating that restricting inter-VM TPS does not 
adversely affect the system’s performance or operations while bolstering security 
against potential data access exploits. ",Get-VMHost | Get-AdvancedSetting -Name Mem.ShareForceSalting,"Get-VMHost | Get-AdvancedSetting -Name Mem.ShareForceSalting | Set
AdvancedSetting -Value 2 ",,1,0,1,Mem.ShareForceSalting,2,eq
3.1,management,Host should deactivate SSH ,Level 1,"Secure Shell (SSH) provides remote access to the ESXi shell, enabling direct host 
console access or remote connectivity. Deactivating SSH is a security measure aimed 
at minimizing remote access channels to the ESXi host, restricting it to essential 
connections only through vSphere Client, vCLI/PowerCLI, or published APIs. The 
service status should be set to ""Stopped"", allowing manual start and stop for 
troubleshooting or diagnostic activities when necessary. ","Limiting remote access by deactivating SSH reduces potential attack vectors, promoting 
a secure operating environment. Enabling SSH only for diagnostics or troubleshooting 
ensures controlled access, aligning with security best practices. HINT:  Verify the Startup Policy is set to Start and Stop Manually. ","There is no functional impact noted, however, the measure requires alternative methods 
for remote management, such as vSphere Client or command-line tools, which may 
demand additional configurations or toolset proficiency.","# Check if SSH is running and set to start 
Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM-SSH"" } | Select 
VMHost, Key, Label, Policy, Running, Required ","# Set SSH to start manually rather than automatically for all hosts 
Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM-SSH"" } | Set
VMHostService -Policy Off ",,1,1,1,,Running=False, Policy=Off,custom
3.2,management,Host must deactivate the ESXi shell,Level 1,"The ESXi shell is an interactive command line environment available from the Direct 
Console User Interface (DCUI) or remotely via SSH. Activities performed from the ESXi 
Shell bypass all access controls, but are logged. The recommended setting for the ESXi 
shell is to be stopped and only started manually when needed, such as when running 
diagnostics or troubleshooting. ","Ensuring non-essential services like the ESXi Shell are deactivated enhances the 
security posture. HINT: Verify the Startup Policy is set to Start and Stop Manually.","No functional impact is recorded. However, if ESXi shell functionalities are needed, 
manual activation is required.","# Check if the ESXi shell is running and set to start 
Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM"" } | Select VMHost, 
Key, Label, Policy, Running, Required ","# Set the ESXi shell to start manually rather than automatically for all 
hosts 
Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM"" } | Set
VMHostService -Policy Off",,1,1,1,,Running=False, Policy=Off,custom
3.3,management,"Host must deactivate the ESXi Managed Object Browser 
(MOB)",Level 1,"The Managed Object Browser (MOB) is a web-based server application that lets you 
examine and change system objects and configurations. It is a prudent security 
measure to deactivate the MOB unless it's essential for operations. The parameter 
governing this behavior is Config.HostAgent.plugins.solo.enableMob with a 
recommended setting of False. ","Deactivating non-essential services like MOB adheres to the principle of least 
functionality, reducing potential attack vectors. HINT:  Verify the value is set to false.","There is no specified functional impact, however, if MOB functionalities are needed 
later, manual reactivation is required. ","Get-VMHost | Get-AdvancedSetting -Name 
Config.HostAgent.plugins.solo.enableMob ","You must disable MOB from the vSphere interface not via the vim-cmd  proxysvc/service_list 
command.",,2,0,2,Config.HostAgent.plugins.solo.enableMob,false,eq
3.7,management,Host must automatically terminate idle DCUI sessions ,Level 1,"By configuring a session timeout, unattended console sessions are automatically 
terminated, thereby reducing the potential security risks associated with lingering active 
sessions. The parameter governing this behavior is UserVars.DcuiTimeOut, with a 
recommended setting of 600 (10 minutes).","Automated termination of idle DCUI sessions enhances the security posture by 
minimizing the window of opportunity for unauthorized access through unattended 
sessions. It enforces a good security hygiene practice by ensuring that inactive sessions 
do not remain open indefinitely, which is in line with the principle of least privilege. HINT: Verify that the value for this parameter is 600 seconds or less. ","While there's no functional impact specified, setting a timeout value that's too short may 
inconvenience users by terminating sessions prematurely, possibly interrupting 
workflow. Conversely, a timeout value that's too long may not adequately mitigate the 
risks associated with idle sessions. Hence, a balanced approach in configuring the 
session timeout value, aligned with the organizational security policy and user workflow, 
is crucial.",Get-VMHost | Get-AdvancedSetting -Name UserVars.DcuiTimeOut,"Get-VMHost | Get-AdvancedSetting -Name UserVars.DcuiTimeOut | Set
AdvancedSetting -Value 600",,1,0,1,UserVars.DcuiTimeOut,600,le
3.8,management,Host must automatically terminate idle shells,Level 1,"The host should be configured to automatically terminate idle shell sessions to prevent 
potential unauthorized access due to forgotten logouts. Setting a timeout for idle SSH 
connections ensures that any unattended sessions are closed, thereby reducing the 
security risk. The parameter governing this behavior is UserVars. ","Automatically terminating idle shells minimizes the risks associated with unattended 
sessions. It is a proactive measure to prevent potential unauthorized access to the host. HINT: Verify that the value for this parameter is set to 300 or less.","There is no identified negative impact associated with enforcing this control as it serves 
to bolster the host's security posture. ","# List UserVars.ESXiShellInteractiveTimeOut for each host 
Get-VMHost | Select Name, @{N=""UserVars.ESXiShellInteractiveTimeOut"",E={$_ | 
Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut | Select 
ExpandProperty Values}}","# Set Remove UserVars.ESXiShellInteractiveTimeOut to 300 on all hosts 
Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellInteractiveTimeOut' 
| Set-AdvancedSetting -Value ""300"" ",,1,0,1,UserVars.ESXiShellInteractiveTimeOut,300,le
3.9,management,Host must automatically deactivate shell services,Level 1,"Enabling the automatic deactivation of shell services minimizes the attack surface on 
the host. The time window for the ESXi Shell and SSH services' availability is defined by 
UserVars.ESXiShellTimeOut, after which these services are terminated. The 
recommended setting for this parameter is 3600.","Automatically deactivating shell services after a defined time window helps in reducing 
the risk associated with potential unauthorized access, ensuring a more secure ESXi 
host environment. HINT: Verify that the value for this parameter is set to 3600 (1 hour) or less.","There's no negative functional impact identified with this control, it contributes towards 
enhancing the host's security posture by limiting the availability of shell services. ","# List UserVars.ESXiShellTimeOut in minutes for each host 
Get-VMHost | Select Name, @{N=""UserVars.ESXiShellTimeOut"",E={$_ | Get
AdvancedSettings UserVars.ESXiShellTimeOut | Select -ExpandProperty Values}}","# Set UserVars.ESXiShellTimeOut to 3600 on all hosts 
Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellTimeOut' | Set
AdvancedSetting -Value ""3600"" ",,1,0,1,UserVars.ESXiShellTimeOut,3600,le
3.12,management,"Host must lock an account after a specified number of 
failed login attempts",Level 1,"The security control involves restricting account access following a specified number of 
failed login attempts, acting as a deterrent against brute-force attacks. This control is 
applicable for SSH and vSphere Web Services SDK access, though not for the Direct 
Console Interface (DCUI) and the ESXi Shell. A default setting allows five failed 
attempts before account lockout, with automatic unlock after 15 minutes. The parameter 
governing this behavior is Security.AccountLockFailures with a recommended setting of 
5. ","Implementing this control bolsters the host's resilience against unauthorized access 
attempts, safeguarding system integrity. By thwarting brute-force attacks, it significantly 
elevates the security posture, making unauthorized access more challenging. HINT: Verify that the value for this parameter is set to 5. ","A potential downside is the inadvertent denial-of-service scenario, especially with a low 
threshold for login failures. This could be exploited maliciously or trigger accidental 
lockouts, impacting system accessibility and possibly demanding additional 
administrative effort for account resets. ",Get-VMHost | Get-AdvancedSetting -Name Security.AccountLockFailures,"Get-VMHost | Get-AdvancedSetting -Name Security.AccountLockFailures | Set
AdvancedSetting -Value 5 ",,1,0,1,Security.AccountLockFailures,5,eq
