"ID","Category","Name","Status","Total","NonCompliant","C","D","R","E_i","E_norm","Effort","Objects","Remediation"
"2.3.3","app-service","Ensure 'Basic Authentication Publishing Credentials' are 'Disabled'","COMPLIANT","2","0","1","0","1","0,7","0","BASSO","","az resource update --resource-group <resource-group-name> --name ftp -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --set properties.allow=false // az resource update --resource-group <resource-group-name> --name scm -- namespace Microsoft.Web --resource-type basicPublishingCredentialsPolicies -- parent sites/<function-app-name> --set properties.allow=false"
"2.3.4","app-service","Ensure 'FTP state' is set to 'FTPS only' or 'Disabled'","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --ftps-state <FtpsOnly|Disabled>"
"2.3.5","app-service","Ensure 'HTTP version' is set to '2.0' (if in use) ","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO"," (valore: False)","az functionapp config set --resource-group <resource-group-name> --name <appname> --http20-enabled true"
"2.3.6","app-service","Ensure 'HTTPS Only' is set to 'On'","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.httpsOnly=true"
"2.3.7","app-service","Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --min-tls-version <1.2|1.3>"
"2.3.8","app-service","Ensure end-to-end TLS encryption is enabled","NON-COMPLIANT","1","1","2","0","2","1,4","0,35","MEDIO","test-web-app (ssl=False, httpsOnly=True)","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.endToEndEncryptionEnabled=true"
"2.3.9","app-service","Ensure 'Remote debugging' is set to 'Off'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO"," (valore: )","az functionapp config set --resource-group <resource-group-name> --name <function-app-name> --remote-debugging-enabled false"
"2.3.10","app-service","Ensure incoming client certificates are enabled and required (if in use)","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","test-web-app (clientCertEnabled=False, mode=Required)","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.clientCertEnabled=true --set properties.clientCertMode=Required"
"2.3.11","app-service","Ensure 'App Service authentication' is set to 'Enabled' ","NON-COMPLIANT","1","1","2","0","1","1,1","0,2","BASSO","test-web-app (auth.enabled=False)","az webapp auth update --resource-group <resource-group-name> --name <function-app-name> --enabled true"
"2.3.12","app-service","Ensure managed identities are configured","NON-COMPLIANT","1","1","1","0","2","1","0,15","BASSO","test-web-app (identity.type=)","az functionapp identity assign --resource-group <resource-group-name> --name <function-app-name>"
"2.3.13","app-service","Ensure public network access is disabled","COMPLIANT","1","0","2","1","2","1,7","0,5","MEDIO","","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.publicNetworkAccess=Disabled"
"2.3.14","app-service","Ensure function app is integrated with a virtual network","NON-COMPLIANT","1","1","2","1","2","1,7","0,5","MEDIO"," (valore: )","az functionapp vnet-integration add --resource-group <resource-group-name> -- name <function-app-name> --vnet <virtual-network-name> --subnet <subnet-name>"
"2.3.15","app-service","Ensure configuration is routed through the virtual network integration","NON-COMPLIANT","1","1","2","1","2","1,7","0,5","MEDIO"," (valore: )","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetImagePullEnabled=true --set properties.vnetContentShareEnabled=true"
"2.3.16","app-service","Ensure all traffic is routed through the virtual network","NON-COMPLIANT","1","1","3","2","3","2,7","1","ALTO","test-web-app (vnetRouteAll=False)","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetRouteAllEnabled=true"
"2.3.17","app-service","Ensure cross-origin resource sharing does not allow all origins","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az functionapp cors remove --resource-group <resource-group-name> --name <function-app-name> --allowed-origins ""*"" // az functionapp cors add --resource-group <resource-group-name> --name <function-app-name> --allowed-origins <allowed-origins>"
